                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7485,                 3.8355,                 1.5576,                0.14161,                0.44397,                0.14377,                0.07841,                 1.4619,                 3.7958,                 1.3787,              0.0001111,              0.0001111,              0.0001111
                      2,                 1.3032,                 2.4406,                 1.2661,                0.17276,                 0.5972,                0.21562,                0.13016,                 1.1207,                 3.5978,                  1.187,             0.00023254,             0.00023254,             0.00023254
                      3,                 1.2226,                 2.1086,                 1.1826,                0.26526,                0.74658,                0.35888,                0.27348,                0.87295,                 2.7125,                 1.0736,             0.00035317,             0.00035317,             0.00035317
                      4,                 1.1856,                 1.8632,                 1.1638,                0.36065,                0.41871,                0.37461,                0.28029,                0.89024,                 2.3722,                 1.0901,               0.000473,               0.000473,               0.000473
                      5,                 1.1621,                 1.6166,                 1.1882,                0.40582,                0.68715,                0.51094,                 0.3325,                 1.1959,                 2.0149,                 1.2471,             0.00059202,             0.00059202,             0.00059202
                      6,                  1.155,                 1.5176,                 1.1807,                 0.4686,                0.57617,                0.55152,                0.40537,                0.94607,                 1.7568,                 1.1257,             0.00071023,             0.00071023,             0.00071023
                      7,                 1.2254,                 1.4919,                 1.1812,                0.59248,                0.52162,                0.63021,                0.45316,                0.95445,                 1.9315,                 1.1728,             0.00082764,             0.00082764,             0.00082764
                      8,                 1.1632,                 1.3866,                 1.1667,                 0.5048,                0.59631,                0.53631,                0.39418,                0.99592,                 1.5621,                 1.1756,             0.00094424,             0.00094424,             0.00094424
                      9,                 1.1778,                 1.2562,                  1.187,                0.61771,                0.68646,                0.67364,                0.50031,                 1.0068,                 1.5255,                 1.1755,                0.00106,                0.00106,                0.00106
                     10,                 1.1889,                 1.3252,                 1.1905,                0.43009,                0.59907,                0.58434,                0.39566,                  1.126,                  2.051,                 1.2655,               0.001078,               0.001078,               0.001078
                     11,                 1.2344,                 1.2025,                 1.2176,                0.66614,                0.66217,                0.73896,                0.51768,                 1.1317,                 1.5804,                 1.2837,              0.0010743,              0.0010743,              0.0010743
                     12,                 1.1792,                 1.0892,                 1.1921,                0.62431,                0.68934,                0.72932,                0.50495,                 1.0661,                 1.3608,                 1.1778,              0.0010707,              0.0010707,              0.0010707
                     13,                  1.156,                 1.1702,                 1.1536,                0.74036,                0.62855,                0.74148,                0.55184,                 1.0277,                 1.6831,                 1.1949,               0.001067,               0.001067,               0.001067
                     14,                 1.1526,                 1.1555,                 1.1616,                0.86402,                0.61016,                0.71308,                0.50114,                 1.1863,                 1.3761,                 1.2541,              0.0010633,              0.0010633,              0.0010633
                     15,                  1.188,                 1.0828,                  1.156,                 0.7942,                  0.711,                0.79156,                0.56114,                 1.0576,                 1.0973,                 1.2206,              0.0010597,              0.0010597,              0.0010597
                     16,                 1.1475,                 1.0121,                 1.1556,                0.82859,                0.71844,                0.83001,                0.60795,                0.89895,                0.88833,                 1.0971,               0.001056,               0.001056,               0.001056
                     17,                 1.1296,                0.93115,                 1.1241,                0.78074,                0.79303,                0.85484,                0.61557,                0.96228,                0.84178,                 1.1041,              0.0010523,              0.0010523,              0.0010523
                     18,                 1.1344,                0.96986,                 1.1475,                0.81653,                0.80663,                0.87552,                0.64161,                0.96426,                0.83188,                 1.1268,              0.0010487,              0.0010487,              0.0010487
                     19,                 1.1375,                0.95767,                 1.1436,                0.84431,                0.79792,                0.85747,                0.62952,                0.91247,                0.87168,                 1.0982,               0.001045,               0.001045,               0.001045
                     20,                 1.1048,                0.88066,                 1.1258,                 0.8438,                0.73322,                0.83596,                0.64433,                0.92829,                 0.9056,                 1.1182,              0.0010413,              0.0010413,              0.0010413
                     21,                 1.1127,                0.84842,                 1.1382,                0.88777,                0.73101,                0.84361,                 0.6448,                0.84699,                0.84137,                 1.0791,              0.0010377,              0.0010377,              0.0010377
                     22,                  1.117,                 0.8978,                 1.1425,                0.91216,                0.76481,                0.87682,                0.62783,                 1.0464,                0.89422,                  1.099,               0.001034,               0.001034,               0.001034
                     23,                 1.0805,                0.85294,                 1.1107,                0.84518,                0.78043,                0.86643,                0.64803,                0.94415,                0.90177,                   1.11,              0.0010303,              0.0010303,              0.0010303
                     24,                 1.0491,                0.84152,                 1.1018,                0.87918,                0.76412,                0.85486,                0.67592,                0.83243,                0.81057,                 1.0369,              0.0010267,              0.0010267,              0.0010267
                     25,                  1.035,                0.81413,                 1.1217,                0.87516,                0.73105,                0.87222,                0.67878,                0.81505,                0.81406,                 1.0368,               0.001023,               0.001023,               0.001023
                     26,                 1.0548,                0.84116,                 1.1008,                0.78181,                0.72006,                0.79985,                0.60738,                0.92427,                 0.9717,                 1.0671,              0.0010193,              0.0010193,              0.0010193
                     27,                 1.0322,                 0.8114,                 1.0757,                0.83495,                0.65978,                0.80001,                0.62401,                0.83194,                0.95552,                  1.066,              0.0010157,              0.0010157,              0.0010157
                     28,                0.99454,                0.77534,                 1.0723,                0.84814,                0.76441,                 0.8315,                0.65537,                0.85194,                 0.7932,                  1.061,               0.001012,               0.001012,               0.001012
